count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
252;599;1358282503570;5;1302932;2994;6;2994;6;3;0;0;0;0;0;0;0;0;0;0
253;599;1358267164102;5;1302932;2994;5;2994;13;6;2;1;2;1;2;1;2;1;2;1
254;599;1358263038521;5;1302932;2994;87;2994;0;-1;220;220;34;34;392;392;20;20;35;35
255;599;1358281292383;5;1302932;2994;46;2994;0;-1;134;134;80;80;394;394;41;41;58;58
256;599;1358268490651;5;1302932;2994;10;2994;220;110;1;1;1;1;1;1;1;1;1;1
257;599;1358261187119;5;1302932;2994;7;2994;229;114;4;4;4;4;4;4;4;4;4;4
258;599;1358262977122;5;1302932;2994;8;2994;52;26;34;13;33;13;11;8;11;8;21;8
259;599;1358266947132;5;1302932;2994;6;2994;88;44;0;0;0;0;0;0;0;0;0;0
260;599;1358270392073;5;1302932;2994;13;2994;201;100;4;3;2;2;2;2;2;2;2;2
261;599;1358270028131;5;1302932;2994;716;2994;181;90;7;1;1;1;1;1;1;1;1;1
262;599;1358288109085;5;1302932;2994;9;2994;202;101;0;0;0;0;0;0;0;0;0;0
263;599;1358262313462;5;1302932;2994;15;2994;6;3;4;0;0;0;0;0;0;0;0;0
264;599;1358271623511;5;1302932;2994;6;2994;0;-1;2;2;1;1;1;1;1;1;1;1
265;599;1358259150792;5;1302932;2994;1216;2994;46;-1;60;60;34;34;34;34;34;34;34;34
266;599;1358259661531;5;1302932;2994;106;2994;57;28;19;2;3;2;3;2;3;2;3;2
267;599;1358267030228;5;1302932;2994;11;2994;185;92;30;18;30;18;30;18;30;18;30;18
268;599;1358259463851;5;1302932;2994;1150;2994;46;-1;46;46;19;19;19;19;19;19;19;19
269;599;1358268793650;5;1302932;2994;226;2994;1;0;15;0;0;0;0;0;0;0;0;0
270;599;1358263973009;5;1302932;2994;7;2994;168;84;2;1;2;1;2;1;2;1;2;1
271;599;1358282528574;5;1302932;2994;46;2994;68;34;29;0;7;0;1;0;1;0;1;0
272;599;1358260067374;5;1302932;2994;8;2994;191;95;0;0;0;0;0;0;0;0;0;0
273;599;1358282811058;5;1302932;2994;8;2994;12;6;1;0;0;0;0;0;0;0;0;0
274;599;1358270962239;5;1302932;2994;9;2994;221;110;1;1;1;1;1;1;1;1;1;1
275;599;1358260958935;5;1302932;2994;9;2994;221;110;0;0;0;0;0;0;0;0;0;0
276;599;1358259099805;5;1302932;2994;6;2994;12;6;2;1;2;1;2;1;2;1;2;1
277;599;1358264436708;5;1302932;2994;10;2994;253;126;5;2;5;2;5;2;5;2;5;2
278;599;1358262220320;5;1302932;2994;28;2994;87;43;60;22;38;14;13;10;14;10;16;10
279;599;1358261543525;5;1302932;2994;270;2994;11;5;51;0;0;0;0;0;0;0;0;0
280;599;1358278461563;5;1302932;2994;195;2994;37;18;64;5;4;2;3;2;4;2;3;2
